cluster_num,top_title,description,link
164,"Dx&Vx, 경구용 비만치료제 물질 특허 조기 출원 결정","기존 연내 출원에서 이르면 3분기내 조기 출원 가능 디엑스앤브이엑스(Dx&Vx)가 경구용 비만치료제의 물질 특허를 조기에 출원하기로 결정했다고 30일... 디엑스앤브이엑스는 실험 결과의 자신감을 바탕으로 바이오 의약품 국제 특허 전문 변리사와 미팅을 한 결과, 경구용 비만치료제 복수의 물질 특허를...",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202407301036340390792
165,"네오아이즈, 행동 유형 검사 k-DISC 특허, 저작권 지식재산권 등록 출원 완료","이번 지식재산권 확보는 한국 직무 환경에 특화된 ‘k-DISC’ 행동 유형 검사 시스템 및 검사 방법에 대한 특허 출원, 교육 프로그램 ‘소통의 디자인... (사진=네오아이즈 본사) (주)네오아이즈는 더욱 신뢰받는 검사로 자리매김하기 위해 'k-DISC 행동 유형 검사 시스템 및 검사 방법'에 대한 특허를...",https://www.sedaily.com/NewsView/2DCWCQYO9T
166,"㈜오뚜기, 'OTOKI'로 영문 표기 리뉴얼","특허청 특허정보검색 서비스에 따르면 오뚜기가 상표권 출원신청을 제출한 것은 7월 9일이다. 도메인 거래 사이트에서 확인해보니, 이보다 앞선 7월 5일 'otoki.kr'이라는 도메인도 ㈜오뚜기 명의로 확보한 상태다. 오뚜기는 9일 영문표기 변경사실을 알리는 보도자료를 통해 ""영문 표기와 심볼마크 디자인 변경도...",https://www.the-pr.co.kr/news/articleView.html?idxno=51949
167,"마크애니, 비가시성 워터마크 SaForus API 출시로 콘텐츠 저작권 보호 강화","마크애니는 150여개의 등록 특허를 가지고 있으며, 그 중에 가시성/비가시성 특허 기술이 다수 포함되어 있다. 이러한 특허 기술을 기반으로 다양한 콘텐츠에 가시적·비가시적 워터마크를 삽입하고 유출자 정보를 검출하는 제품들을 개발하여 제공하고 있다. 이번에 새롭게 선보인 SaForus API는 고객사...",http://www.kdpress.co.kr/news/articleView.html?idxno=130990
168,"KCC, 현장 목소리 반영해 '18리터 원형캔' 뚜껑 개선…특허 출원 완료","KCC 측은 ""OJC와 협업해서 개선한 원형캔 뚜껑의 디자인특허 출원을 완료했다""고 밝혔다. KCC는 올해 상반기 일부 제품에 대해 날개 수를 줄인 18리터 원형캔을 적용했으며, 하반기 중에는 스포탄KS1류방수재, 유니폭시라이닝에 홈(리브)과 커링까지 적용한 제품을 출하할 예정이다. 또 내수용에 이어 수출용...",https://sports.hankooki.com/news/articleView.html?idxno=6870013
172,"보람바이오, 특허 성분 담은 '수박 음료 3종' 출시","워터멜론 곤약젤리는 수박맛 곤약젤리다. 수박농축액, 수박과피추출분말과 함께 저칼로리에 포만감을 느낄 수 있는 곤약젤리를 넣어 수박맛과 향을 재현했다. 보람바이오의 특허성분인 수박과피추출분말은 시트룰린을 함유해 혈행개선, 운동력향상, 자양강장에 도움을 줄 수 있다.",https://www.newsfreezone.co.kr/news/articleView.html?idxno=583035
173,"한국명상교육진흥원, 디지털·AI 시대 정신건강 증진을 위한 맞춤형 명상콘텐츠 보급",한국명상교육진흥원(원장 정민선)은 디지털 전환과 생성형 AI로 매일매일 빨라지는 사회변화에 스트레스가 커지는 현대인들이 명상을 쉽고 명확하게 활용할수 있도록 명상 시뮬레이터를 이용한 디지털테라피시스템을 개발해 특허를 취득하였다. 또한 디지털테라피시스템을 잘 활용하고 정신병리학...,https://www.getnews.co.kr/news/articleView.html?idxno=687843
176,"쏭레브, 키즈샴푸 피치코코향 출시","기존 샴푸와 동일하게 라멜럭스 특허 공법을 적용하였다. 라멜럭스 특허 공법은 세정성분과 지질성분을 고함량으로 배합한 공법으로 세정과 동시에 지질성분을 보충하여 모발 장벽에 도움을 준다. 씻기 싫어하는 아이들을 위해 샴푸 하나로 말끔한 두피 세정, 찰랑이는 머릿결 그리고 사랑스러운 복숭아향을...",https://www.gosiweek.com/article/1065594202797271
178,"'플라잉 B'가 진짜 난다! 벤틀리, 차량 내 소형 드론 탑재 기술 특허 출원","영국 럭셔리 카 브랜드 벤틀리모터스가 차량 내 드론을 탑재할 수 있는 새로운 기능을 특허로 출원했다. 해외 자동차 전문매체 카스쿱스가 공개한 특허 이미지에 따르면, 해당 기능은 차량의 보닛에 네 개의 작은 프로펠러와 '플라잉 B' 배지를 갖춘 소형 드론을 배치한 것이 특징이다. 무게가 250g 수준으로...",https://www.autodaily.co.kr/news/articleView.html?idxno=521978
181,"코오롱티슈진 ""골관절염치료제 '인보사', 일본특허 취득""",바이오 기업 코오롱티슈진은 신장유래세포 기반의 골관절염 세포유전자 치료제 'TG-C'에 대해 일본 특허를 취득했다고 25일 밝혔다. 이번에 취득한 특허는 TGF-β 유전자를 상피세포 또는 인간배아 신장유래 293세포에 인위적으로 전달해 만들어진 형질전환 세포를 골관절염 치료 및 연골 재생에...,https://www.newsis.com/view/NISX20240725_0002825568
182,"이노그리드, 클라우드 관련 특허 등록·출원 16건 추가","이노그리드는 총 16건의 특허 등록 및 출원을 완료했다고 25일 밝혔다. 이노그리드는 자체 클라우드 연구센터를 중심으로 30여 건의 다양한 정부 연구·개발(R&D) 과제를 진행하며 국내 클라우드 기술 성장에 적극 앞장서고 있다. 개발된 기술은 권리 확보 및 보호를 위해 특허 출원을 진행하고 있으며, 현재까지...",https://biz.chosun.com/it-science/ict/2024/07/25/QT7HCBGK6NHT3ARWGRAXYPHT7Q/?utm_source=naver&utm_medium=original&utm_campaign=biz
184,"밥순삭 꽃게야, N99•팬텀엑셀러레이터 그룹 '맛집대전' 핫플레이스 30곳에 직영점 선보인다","밥순삭 꽃게야 밥순삭 꽃게야(대표 양지혜)는 N99•팬텀엑셀러레이터 그룹(대표 엑셀러레이터 김세훈, 파트너 엑셀러레이터 변호사 이기영)과 시행사•건물주•금융사•증권사들이 함께 연합으로 진행하고 있는 전국 맛집대전(특허[상표] 출원번호) 핫플레이스 30곳에 밥순삭 꽃게야 직영 매장 30곳을...",https://www.getnews.co.kr/news/articleView.html?idxno=687842
186,"""전고체전지 경쟁 심화"" SK온, 中서 '전고체 배터리 복합 양극 제조' 특허 승인","SK그룹이 배터리 핵심 소재 기술 개발 및 특허 출원을 통해 전고체 배터리 시장 개화에 대비한다. 지난 2일(현지시간) 중국 국가지적재산권국(CNIPA)에 따르면, CNIPA는 지난 7월 SK그룹 계열사가 출원한 특허 52건을 승인했다. 승인받은 특허 수는 지난달(67건) 대비 소폭 감소했다. 가장 주목할 만한 점은...",https://www.autodaily.co.kr/news/articleView.html?idxno=521926
188,"코오롱티슈진, TG-C 골관절염 치료 기술 일본 특허 취득",코오롱티슈진이 신장유래세포 기반의 골관절염 세포유전자치료제 TG-C에 대해 일본 특허를 취득했다고 25일 밝혔다. 이번에 일본에서 취득한 특허는 TGF-β 유전자를 상피세포 또는 인간배아 신장유래 293세포에 인위적으로 전달해 만들어진 형질전환 세포를 골관절염 치료 및 연골 재생에 사용하는...,https://www.hankyung.com/article/202407258857i
191,"이글루코퍼레이션, 클라우드·SOAR 특허 2건 취득","이글루코퍼레이션은 2건의 클라우드 및 보안 운영·위협 대응 자동화(SOAR) 특허 등록을 완료했다고 25일 밝혔다. 이글루코퍼레이션이 등록한 이번 특허는 클라우드 보안 운영 시스템의 보안성을 높이고, 보안 자동화의 정확성을 높이는 데 목적을 두고 있다. 클라우드 특허는 사용자의 권한에 따라 다른 테넌트...",http://www.fnnews.com/news/202407250925032635
193,"[기업]글로벌 회원제 온라인 쇼핑몰 뉴트론, 총 28억까지 출산 지원금 혜택 제공","각 나라의 우수한 상품을 50% 가격으로 구입할 수 있으며, 특허 출원된 뉴트론만의 독자적인 시스템을 활용해 회원제 쇼핑몰을 운영한다. 뉴트론은 쇼핑몰 회원들을 위하여 출산 지원금 혜택도 제공한다. 회원에게 자녀가 생길 경우 1명은 1억, 2억은 3억, 3명은 6억 등 총 28억까지 지원하는 혜택을 통해...",https://www.ytn.co.kr/_ln/0102_202408121008511469
194,"이뮤노바이옴, 특허 담은 '아이엠바이오틱스 피부&장건강' 선보여","특히 미국, 일본, 한국 등에서 특허 인정을 받은 이뮤노바이옴의 특허 균주도 함유됐다. 이뮤노바이옴은 지난달 두뇌균형 운동치료센터인 밸런스브레인과 공동개발한 장건강·밸런스 첫 제품을 출시한 바 있다. 이번엔 피부 개선에 특화된 제품을 선보이며 건기식 시장 공략에 속도를 낼 계획이다. 회사 관계자는...",https://www.healthinnews.co.kr/view.php?ud=2024080515322420205868f676_48
